Rank,Title,Previous Rank, Revenues ($M) ,Revenue Change, Profits ($M) ,Profit Change, Assets ($M) , Mkt Value as of 3/29/18 ($M) ,Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State, Latitude , Longitude 
765,TRI Pointe Group,831," $2,810.00 ",17%, $187.20 ,-4%," $3,805.00 "," $2,487.00 ",1251,Douglas F. Bauer,Chairman &  Chief Executive Officer,Engineering &  Construction,Homebuilders,,Irvine,CA, 33.68457 , (117.82650)
766,Annaly Capital Management,853," $2,809.00 ",20%," $1,569.60 ",10%," $101,760.00 "," $12,095.00 ",152,Kevin G. Keyes,"Chairman, President &  Chief Executive Officer",Financials,Diversified Financials,,New York,NY, 40.71278 , (74.00597)
767,G-III Apparel Group,838," $2,807.00 ",18%, $62.10 ,20%," $1,915.00 "," $1,849.00 ",9961,Morris Goldfarb,Chairman &  Chief Executive Officer,Apparel,Apparel,,New York,NY, 40.71278 , (74.00597)
768,AMC Networks,763," $2,806.00 ",2%, $471.30 ,74%," $5,033.00 "," $3,140.00 ",2039,Joshua W. Sapan,"President, Chief Executive Officer &  Director",Media,Entertainment,,New York,NY, 40.71278 , (74.00597)
769,Enable Midstream Partners,870," $2,803.00 ",23%, $436.00 ,40%," $11,593.00 "," $5,935.00 ",1630,Rodney J. Sailor,"President, Chief Executive Officer &  Director",Energy,Pipelines,,Oklahoma City,OK, 35.46756 , (97.51643)
770,Ciena,788," $2,802.00 ",8%," $1,262.00 ",1639%," $3,952.00 "," $3,719.00 ",5737,Gary B. Smith,"President, Chief Executive Officer &  Director",Technology,Network and Other Communications Equipment,,Hanover,MD, 39.19550 , (76.72282)
771,DSW,772," $2,800.00 ",3%, $67.30 ,-46%," $1,414.00 "," $1,798.00 ",12000,Roger L. Rawlins,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,,Columbus,OH, 39.96118 , (82.99879)
772,Convergys,746," $2,792.00 ",-4%, $121.40 ,-15%," $2,415.00 "," $2,073.00 ",115000,Andrea J. Ayers,"President, Chief Executive Officer &  Director",Business Services,Diversified Outsourcing Services,,Cincinnati,OH, 39.10312 , (84.51202)
773,Park Hotels & Resorts,," $2,791.00 ",," $2,625.00 ",," $9,714.00 "," $5,435.00 ",520,Thomas J. Baltimore Jr.,"Chairman, President &  Chief Executive Officer",Financials,Real estate,,McLean,VA, 38.93387 , (77.17726)
774,Pool,791," $2,788.00 ",9%, $191.60 ,29%," $1,101.00 "," $5,931.00 ",4000,Manuel J. Perez de la Mesa,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,,Covington,LA, 30.47547 , (90.10091)
775,Fossil Group,723," $2,788.00 ",-8%, $(478.20),-706%," $1,658.00 ", $618.00 ,12300,Kosta N. Kartsotis,Chairman &  Chief Executive Officer,Apparel,Apparel,,Richardson,TX, 32.94833 , (96.72985)
776,Dominos Pizza,815," $2,788.00 ",13%, $277.90 ,30%, $837.00 ," $10,060.00 ",14200,J. Patrick Doyle,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure",Food Services,,Ann Arbor,MI, 42.28083 , (83.74304)
777,Crane,767," $2,786.00 ",1%, $171.80 ,40%," $3,594.00 "," $5,547.00 ",10600,Max H. Mitchell,"President, Chief Executive Officer &  Director",Industrials,Industrial Machinery,,Stamford,CT, 41.05343 , (73.53873)
778,Caleres,790," $2,786.00 ",8%, $87.20 ,33%," $1,489.00 "," $1,444.00 ",12000,Diane M. Sullivan,"Chairman, President &  Chief Executive Officer",Retailing,Specialty Retailers: Apparel,,St. Louis,MO, 38.62700 , (90.19940)
779,Tempur Sealy International,709," $2,754.00 ",-12%, $151.40 ,-21%," $2,694.00 "," $2,461.00 ",7000,Scott L. Thompson,"Chairman, President &  Chief Executive Officer",Household Products,"Home Equipment, Furnishings",,Lexington,KY, 38.04058 , (84.50372)
780,Tetra Tech,789," $2,753.00 ",7%, $117.90 ,41%," $1,903.00 "," $2,734.00 ",16000,Dan L. Batrack,"Chairman, President &  Chief Executive Officer",Engineering &  Construction,"Engineering, Construction",,Pasadena,CA, 34.14778 , (118.14452)
781,Illumina,833," $2,752.00 ",15%, $726.00 ,57%," $5,257.00 "," $34,754.00 ",6200,Francis A. deSouza,"President, Chief Executive Officer &  Director",Technology,"Scientific,Photographic and  Control Equipment",,San Diego,CA, 32.71574 , (117.16108)
782,Valmont Industries,804," $2,746.00 ",9%, $116.20 ,-33%," $2,602.00 "," $3,322.00 ",10690,Stephen G. Kaniewski,"President, Chief Executive Officer &  Director",Materials,Metals,,Omaha,NE, 41.25654 , (95.93450)
783,Hill-Rom Holdings,784," $2,744.00 ",3%, $133.60 ,8%," $4,529.00 "," $5,757.00 ",10000,John P. Groetelaars,"President, Chief Executive Officer &  Director",Health Care,Medical Products and Equipment,,Chicago,IL, 41.87811 , (87.62980)
784,Unisys,756," $2,742.00 ",-3%, $(65.30),," $2,542.00 ", $544.00 ,20500,Peter A. Altabef,"President, Chief Executive Officer &  Director",Technology,Information Technology Services,,Blue Bell,PA, 40.15233 , (75.26629)
785,Zions Bancorp.,816," $2,736.00 ",11%, $592.00 ,26%," $66,288.00 "," $10,362.00 ",10083,Harris H. Simmons,Chairman &  Chief Executive Officer,Financials,Commercial Banks,,Salt Lake City,UT, 40.76078 , (111.89105)
786,Sinclair Broadcast Group,769," $2,734.00 ",0%, $576.00 ,135%," $6,785.00 "," $3,185.00 ",8900,Christopher S. Ripley,"President, Chief Executive Officer &  Director",Media,Entertainment,,Cockeysville,MD, 39.49000 , (76.65851)
787,Louisiana-Pacific,878," $2,734.00 ",22%, $389.80 ,160%," $2,449.00 "," $4,173.00 ",5000,W. Bradley Southern,Chairman &  Chief Executive Officer,Materials,"Building Materials, Glass",,Nashville,TN, 36.16266 , (86.78160)
788,Mettler-Toledo International,810," $2,725.00 ",9%, $376.00 ,-2%," $2,550.00 "," $14,635.00 ",14600,Olivier A. Filliol,"President, Chief Executive Officer &  Director",Technology,"Scientific,Photographic and  Control Equipment",,Columbus,OH, 39.96118 , (82.99879)
789,Synopsys,827," $2,725.00 ",13%, $136.60 ,-49%," $5,396.00 "," $12,380.00 ",11686,Aart J. de Geus/Chi-Foon Chan,Chairman &  Co-Chief Executive Officer,Technology,Computer Software,,Mountain View,CA, 37.38605 , (122.08385)
790,Kemper,803," $2,723.00 ",8%, $120.90 ,620%," $8,376.00 "," $2,933.00 ",5550,Joseph P. Lacher Jr.,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),,Chicago,IL, 41.87811 , (87.62980)
791,Cabot,829," $2,717.00 ",13%, $241.00 ,62%," $3,314.00 "," $3,444.00 ",4500,Sean D. Keohane,"President, Chief Executive Officer &  Director",Chemicals,Chemicals,,Boston,MA, 42.36008 , (71.05888)
792,Great Plains Energy,778," $2,708.00 ",1%, $(106.20),-137%," $12,458.00 "," $6,856.00 ",2709,Terry D. Bassham,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,,KCMO,MO, 39.09973 , (94.57857)
793,Rent-A-Center,735," $2,703.00 ",-9%, $6.70 ,," $1,421.00 ", $461.00 ,18300,Mitchell E. Fadel,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,,Plano,TX, 33.01984 , (96.69889)
794,Hawaiian Holdings,819," $2,696.00 ",10%, $364.00 ,55%," $2,860.00 "," $1,986.00 ",6660,Peter R. Ingram,"President, Chief Executive Officer &  Director",Transportation,Airlines,,Honolulu,HI, 21.30694 , (157.85833)
795,Revlon,855," $2,694.00 ",15%, $(183.20),," $3,057.00 "," $1,085.00 ",7800,Debra G. Perelman,Vice Chairman &  Chief Executive Officer,Household Products,Household and Personal Products,,New York,NY, 40.71278 , (74.00597)
796,Syneos Health,," $2,672.00 ",66%, $(138.50),-223%," $7,286.00 "," $3,713.00 ",21000,Alistair MacDonald,Chairman &  Chief Executive Officer,Health Care,Health Care: Pharmacy and Other Services,,Raleigh,NC, 35.77959 , (78.63818)
797,Public Storage,794," $2,669.00 ",4%," $1,442.20 ",-1%," $10,733.00 "," $34,885.00 ",5600,Ronald L. Havner Jr.,Chairman &  Chief Executive Officer,Financials,Real estate,,Glendale,CA, 34.14251 , (118.25508)
798,TTM Technologies,800," $2,659.00 ",5%, $124.20 ,256%," $2,782.00 "," $1,582.00 ",29000,Thomas T. Edman,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,,Costa Mesa,CA, 33.64122 , (117.91882)
799,Vectren,820," $2,657.00 ",9%, $216.00 ,2%," $6,239.00 "," $5,310.00 ",5500,Carl L. Chapman,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,,Evansville,IN, 37.97156 , (87.57109)
800,Trimble,844," $2,654.00 ",12%, $121.10 ,-9%," $4,298.00 "," $8,920.00 ",9523,Steven W. Berglund,"President, Chief Executive Officer &  Director",Technology,"Scientific,Photographic and  Control Equipment",,Sunnyvale,CA, 37.36883 , (122.03635)
801,NOW,910," $2,648.00 ",26%, $(52.00),," $1,749.00 "," $1,104.00 ",4463,Robert R. Workman,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,,Houston,TX, 29.76043 , (95.36980)
802,Spirit Airlines,860," $2,648.00 ",14%, $420.60 ,59%," $4,144.00 "," $2,577.00 ",6100,Robert L. Fornaro,Chairman &  Chief Executive Officer,Transportation,Airlines,,Miramar,FL, 25.98608 , (80.30356)
803,ASGN,822," $2,626.00 ",8%, $157.70 ,62%," $1,810.00 "," $4,272.00 ",3800,Peter T. Dameris,Chief Executive Officer &  Director,Business Services,Temporary Help,,Calabasas,CA, 34.13672 , (118.66148)
804,Lincoln Electric Holdings,868," $2,624.00 ",15%, $247.50 ,25%," $2,407.00 "," $5,902.00 ",11000,Christopher L. Mapes,"Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,,Cleveland,OH, 41.49932 , (81.69436)
805,Prologis,801," $2,618.00 ",3%," $1,652.30 ",37%," $29,481.00 "," $33,578.00 ",1565,Hamid R. Moghadam,Chairman &  Chief Executive Officer,Financials,Real estate,,SF,CA, 37.77493 , (122.41942)
806,Range Resources,," $2,611.00 ",137%, $333.10 ,," $11,729.00 "," $3,614.00 ",773,Jeffrey L. Ventura,"Chairman, President &  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",,Fort Worth,TX, 32.75549 , (97.33077)
807,Teledyne Technologies,900," $2,604.00 ",21%, $227.20 ,19%," $3,846.00 "," $6,682.00 ",10340,Robert Mehrabian,"Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,,Thousand Oaks,CA, 34.17056 , (118.83759)
808,Vishay Intertechnology,858," $2,604.00 ",12%, $(20.30),-142%," $3,459.00 "," $2,682.00 ",23000,Gerald Paul,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,,Malvern,PA, 40.03622 , (75.51381)
809,Boston Properties,796," $2,602.00 ",2%, $462.40 ,-10%," $19,372.00 "," $19,018.00 ",740,Owen D. Thomas,Chief Executive Officer,Financials,Real estate,,Boston,MA, 42.36008 , (71.05888)
810,Applied Industrial Technologies,806," $2,594.00 ",3%, $133.90 ,353%," $1,388.00 "," $2,819.00 ",5554,Neil A. Schrimsher,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,,Cleveland,OH, 41.49932 , (81.69436)
811,Graham Holdings,813," $2,592.00 ",4%, $302.00 ,79%," $4,938.00 "," $3,312.00 ",16153,Timothy J. O�Shaughnessy,"President, Chief Executive Officer &  Director",Business Services,Education,,Arlington,VA, 38.88162 , (77.09098)
812,Amica Mutual Insurance,834," $2,590.00 ",8%, $96.10 ,-39%," $6,355.00 ",,3693,Robert A. DiMuccio,"Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Mutual),,Lincoln,RI, 41.91101 , (71.44181)
813,Concho Resources,," $2,586.00 ",58%, $956.00 ,," $13,732.00 "," $22,409.00 ",1203,Timothy A. Leach,Chairman &  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",,Midland,TX, 31.99735 , (102.07791)
814,ITT,830," $2,585.00 ",8%, $113.50 ,-39%," $3,700.00 "," $4,343.00 ",10000,Denise L. Ramos,"President, Chief Executive Officer &  Director",Industrials,Industrial Machinery,,White Plains,NY, 41.03399 , (73.76291)
815,Kansas City Southern,854," $2,583.00 ",11%, $962.00 ,101%," $9,199.00 "," $11,320.00 ",7130,Patrick J. Ottensmeyer,"President, Chief Executive Officer &  Director",Transportation,Railroads,,KCMO,MO, 39.09973 , (94.57857)
816,MDC Holdings,857," $2,578.00 ",11%, $141.80 ,37%," $2,780.00 "," $1,567.00 ",1491,Larry A. Mizel,Chairman &  Chief Executive Officer,Engineering &  Construction,Homebuilders,,Denver,CO, 39.73924 , (104.99025)
817,Evergy,793," $2,571.00 ",0%, $323.90 ,-7%," $11,624.00 "," $7,480.00 ",2205,Terry D. Bassham,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,,Topeka,KS, 39.04735 , (95.67516)
818,Pinnacle Entertainment,840," $2,562.00 ",8%, $63.10 ,," $3,950.00 "," $1,753.00 ",15377,Anthony M. Sanfilippo,Chairman &  Chief Executive Officer,"Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",,Las Vegas,NV, 36.16994 , (115.13983)
819,Hawaiian Electric Industries,839," $2,556.00 ",7%, $165.30 ,-33%," $13,100.00 "," $3,742.00 ",3880,Constance H. Lau,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,,Honolulu,HI, 21.30694 , (157.85833)
820,TEGNA,671," $2,550.00 ",-24%, $273.70 ,-37%," $4,962.00 "," $2,456.00 ",5283,David T. Lougee,"President, Chief Executive Officer &  Director",Media,Entertainment,,McLean,VA, 38.93387 , (77.17726)
821,Southwest Gas Holdings,817," $2,549.00 ",4%, $193.80 ,28%," $6,237.00 "," $3,259.00 ",7771,John P. Hester,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,,Las Vegas,NV, 36.16994 , (115.13983)
822,Vista Outdoor,872," $2,547.00 ",12%, $(274.50),-287%," $2,977.00 ", $936.00 ,6400,Christopher T. Metz,Chairman &  Chief Executive Officer,Household Products,Miscellaneous,,Farmington,UT, 40.98050 , (111.88744)
823,Bon-Ton Stores,779," $2,541.00 ",-5%, $(90.70),," $1,587.00 ", $1.00 ,23300,William X. Tracy,"President, Chief Executive Officer &  Director",Retailing,General Merchandisers,,York,PA, 39.96260 , (76.72775)
824,Super Micro Computer,884," $2,530.00 ",14%, $69.30 ,-4%," $1,489.00 ", $828.00 ,2699,Charles Liang,"Chairman, President &  Chief Executive Officer",Technology,"Computers, Office Equipment",,San Jose,CA, 37.33821 , (121.88633)
825,Plexus,795," $2,528.00 ",-1%, $112.10 ,47%," $1,976.00 "," $2,012.00 ",16000,Todd P. Kelsey,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,,Neenah,WI, 44.18582 , (88.46261)
826,TrueBlue,766," $2,509.00 ",-9%, $55.50 ,," $1,109.00 "," $1,063.00 ",5500,Steven C. Cooper,Chairman &  Chief Executive Officer,Business Services,Temporary Help,,Tacoma,WA, 47.25288 , (122.44429)
827,Magellan Midstream Partners,889," $2,508.00 ",14%, $869.50 ,8%," $7,394.00 "," $13,315.00 ",1802,Michael N. Mears,"Chairman, President &  Chief Executive Officer",Energy,Pipelines,,Tulsa,OK, 36.15398 , (95.99278)
828,Toro,836," $2,505.00 ",5%, $267.70 ,16%," $1,494.00 "," $6,621.00 ",6779,Richard M. Olson,"Chairman, President &  Chief Executive Officer",Industrials,Construction and Farm Machinery,,Bloomington,MN, 44.84080 , (93.29828)
829,Akamai Technologies,851," $2,503.00 ",7%, $218.30 ,-31%," $4,603.00 "," $12,069.00 ",7650,F. Thomson Leighton,Chief Executive Officer &  Director,Technology,Internet Services and Retailing,,Cambridge,MA, 42.37362 , (71.10973)
830,Moog,828," $2,498.00 ",4%, $141.30 ,12%," $3,091.00 "," $2,949.00 ",10675,John R. Scannell,Chairman &  Chief Executive Officer,Aerospace &  Defense,Aerospace and Defense,,Elma Center,NY, 42.82123 , (78.63420)
831,Vertex Pharmaceuticals,," $2,489.00 ",46%, $263.50 ,," $3,546.00 "," $41,379.00 ",2300,Jeffrey M. Leiden,"Chairman, President &  Chief Executive Officer",Health Care,Pharmaceuticals,,Boston,MA, 42.36008 , (71.05888)
832,Equity Residential,825," $2,471.00 ",2%, $603.50 ,-86%," $20,571.00 "," $22,687.00 ",2683,David J. Neithercut,"President, Chief Executive Officer &  Director",Financials,Real estate,,Chicago,IL, 41.87811 , (87.62980)
833,Selective Insurance Group,865," $2,470.00 ",8%, $168.80 ,7%," $7,686.00 "," $3,566.00 ",2260,Gregory E. Murphy,Chairman &  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),,Branchville,NJ, 41.14649 , (74.75239)
834,AptarGroup,856," $2,469.00 ",6%, $220.00 ,7%," $3,138.00 "," $5,600.00 ",13200,Stephan B. Tanda,"President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",,Crystal Lake,IL, 42.24113 , (88.31620)
835,Benchmark Electronics,863," $2,467.00 ",7%, $(32.00),-150%," $2,097.00 "," $1,455.00 ",10600,Paul J. Tufano,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,,Scottsdale,AZ, 33.49417 , (111.92605)
836,Columbia Sportswear,841," $2,466.00 ",4%, $105.10 ,-45%," $2,213.00 "," $5,351.00 ",6188,Timothy P. Boyle,"President, Chief Executive Officer &  Director",Apparel,Apparel,,Portland,OR, 45.51223 , (122.65872)
837,A. Schulman,811," $2,461.00 ",-1%, $33.00 ,," $1,754.00 "," $1,270.00 ",4900,Joseph M. Gingo,"Chairman, President &  Chief Executive Officer",Chemicals,Chemicals,,Fairlawn,OH, 41.12783 , (81.60984)
838,Verso,786," $2,461.00 ",-7%, $(30.00),," $1,732.00 ", $580.00 ,4200,B. Christopher DiSantis,"President, Chief Executive Officer &  Director",Materials,Forest and Paper Products,,Miamisburg,OH, 39.64284 , (84.28661)
839,Digital Realty Trust,901," $2,458.00 ",15%, $248.30 ,-42%," $21,404.00 "," $21,701.00 ",1429,A. William Stein,Chairman &  Chief Executive Officer,Financials,Real estate,,SF,CA, 37.77493 , (122.41942)
840,GNC Holdings,797," $2,453.00 ",-3%, $(148.90),," $1,517.00 ", $323.00 ,11500,Kenneth A. Martindale,Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,,Pittsburgh,PA, 40.44062 , (79.99589)
841,E*Trade Financial,930," $2,452.00 ",21%, $614.00 ,11%," $63,365.00 "," $14,692.00 ",3607,Karl A. Roessner,Chairman &  Chief Executive Officer,Financials,Securities,,New York,NY, 40.71278 , (74.00597)
842,Hovnanian Enterprises,765," $2,452.00 ",-11%, $(332.20),," $1,901.00 ", $271.00 ,1905,Ara K. Hovnanian,"Chairman, President &  Chief Executive Officer",Engineering &  Construction,Homebuilders,,Red Bank,NJ, 40.34705 , (74.06431)
843,Maximus,832," $2,451.00 ",2%, $209.40 ,17%," $1,351.00 "," $4,353.00 ",20400,Bruce L. Caswell,"President, Chief Executive Officer &  Director",Technology,Information Technology Services,,Reston,VA, 38.95863 , (77.35700)
844,Twitter,802," $2,443.00 ",-3%, $(108.10),," $7,413.00 "," $21,784.00 ",3372,Jack Dorsey,Chairman &  Chief Executive Officer,Technology,Internet Services and Retailing,,SF,CA, 37.77493 , (122.41942)
845,Par Pacific Holdings,974," $2,443.00 ",31%, $72.60 ,," $1,347.00 ", $784.00 ,905,William C. Pate,"President, Chief Executive Officer &  Director",Energy,Petroleum Refining,,Houston,TX, 29.76043 , (95.36980)
846,Parexel International,824," $2,442.00 ",1%, $107.30 ,-31%," $2,313.00 ",,18900,Jamie Macdonald,Chief Executive Officer,Health Care,Health Care: Pharmacy and Other Services,,Waltham,MA, 42.37649 , (71.23561)
847,RH,902," $2,440.00 ",14%, $2.20 ,-60%," $1,733.00 "," $2,050.00 ",4750,Gary G. Friedman,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,,Corte Madera,CA, 37.92548 , (122.52748)
848,Nexstar Media Group,," $2,432.00 ",120%, $475.00 ,419%," $7,482.00 "," $3,066.00 ",8737,Perry A. Sook,"Chairman, President &  Chief Executive Officer",Media,Entertainment,,Irving,TX, 32.81402 , (96.94889)
849,Knight-Swift Transportation Holdings,586," $2,426.00 ",117%, $484.30 ,416%," $7,683.00 "," $8,199.00 ",25300,David A. Jackson,"President, Chief Executive Officer &  Director",Transportation,"Trucking, Truck Leasing",,Phoenix,AZ, 33.44838 , (112.07404)
850,Red Hat,920," $2,412.00 ",18%, $253.70 ,27%," $4,535.00 "," $26,464.00 ",10500,James M. Whitehurst,"President, Chief Executive Officer &  Director",Technology,Computer Software,,Raleigh,NC, 35.77959 , (78.63818)
851,Belden,846," $2,389.00 ",1%, $93.20 ,-27%," $3,841.00 "," $2,891.00 ",8800,John S. Stroup,"Chairman, President &  Chief Executive Officer",Industrials,"Electronics, Electrical Equip.",,St. Louis,MO, 38.62700 , (90.19940)
852,Boyd Gaming,894," $2,384.00 ",9%, $189.20 ,-55%," $4,686.00 "," $3,589.00 ",19707,Keith E. Smith,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",,Las Vegas,NV, 36.16994 , (115.13983)
853,Primoris Services,938," $2,380.00 ",19%, $72.40 ,171%," $1,256.00 "," $1,287.00 ",7102,David L. King,"President, Chief Executive Officer &  Director",Engineering &  Construction,"Engineering, Construction",,Dallas,TX, 32.77666 , (96.79699)
854,Gardner Denver,," $2,375.00 ",23%, $18.40 ,," $4,621.00 "," $6,051.00 ",6400,Vicente Reynal,Chairman &  Chief Executive Officer,Industrials,Industrial Machinery,,Milwaukee,WI, 43.03890 , (87.90647)
855,Donaldson,882," $2,372.00 ",7%, $232.80 ,22%," $1,980.00 "," $5,851.00 ",13200,Tod E. Carpenter,"Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,,Minneapolis,MN, 44.97775 , (93.26501)
856,Party City Holdco,866," $2,372.00 ",4%, $215.30 ,83%," $3,455.00 "," $1,504.00 ",14600,James M. Harrison,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,,Elmsford,NY, 41.05510 , (73.82013)
857,J.Crew Group,826," $2,370.00 ",-2%, $(125.00),," $1,201.00 ", $-   ,8950,James W. Brett,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,,New York,NY, 40.71278 , (74.00597)
858,EnerSys,861," $2,367.00 ",2%, $160.20 ,18%," $2,293.00 "," $2,907.00 ",9400,David M. Shaffer,"President, Chief Executive Officer &  Director",Industrials,"Electronics, Electrical Equip.",,Reading,PA, 40.33565 , (75.92687)
859,Guess,887," $2,364.00 ",8%, $(7.90),-135%," $1,656.00 "," $1,667.00 ",14700,Victor Herrero,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,,Los Angeles,CA, 34.05223 , (118.24368)
860,Patterson-UTI Energy,," $2,357.00 ",157%, $5.90 ,," $5,759.00 "," $3,892.00 ",8000,William A. Hendricks Jr.,"President, Chief Executive Officer &  Director",Energy,"Oil and Gas Equipment, Services",,Houston,TX, 29.76043 , (95.36980)
861,WGL Holdings,848," $2,355.00 ",0%, $192.60 ,15%," $6,626.00 "," $4,296.00 ",1586,Terry D. McCallister,Chairman &  Chief Executive Officer,Energy,Energy,,Leavenworth,WA, 47.75107 , (120.74014)
862,Wolverine World Wide,812," $2,350.00 ",-6%, $0.30 ,-100%," $2,399.00 "," $2,753.00 ",3700,Blake W. Krueger,"Chairman, President &  Chief Executive Officer",Apparel,Apparel,,Rockford,MI, 43.12003 , (85.56003)
863,Xilinx,885," $2,349.00 ",6%, $622.50 ,13%," $4,741.00 "," $18,408.00 ",3831,Victor Peng,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,,San Jose,CA, 37.33821 , (121.88633)
864,Vornado Realty Trust,809," $2,345.00 ",-7%, $227.40 ,-75%," $17,398.00 "," $12,786.00 ",3989,Steven Roth,Chairman &  Chief Executive Officer,Financials,Real estate,,New York,NY, 40.71278 , (74.00597)
865,Middleby,873," $2,336.00 ",3%, $298.10 ,5%," $3,340.00 "," $6,896.00 ",8493,Selim A. Bassoul,"Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,,Elgin,IL, 42.03541 , (88.28257)
866,MPM Holdings,879," $2,331.00 ",4%, $-   ,," $2,717.00 "," $1,282.00 ",5200,John G. Boss,"President, Chief Executive Officer &  Director",Chemicals,Chemicals,,Waterford,NY, 42.79258 , (73.68123)
867,Cleveland-Cliffs,907," $2,330.20 ",11%, $367.00 ,111%," $2,953.40 "," $2,067.00 ",2938,Lourenco C. Goncalves,"Chairman, President &  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",,Cleveland,OH, 41.49932 , (81.69436)
868,GGP,849," $2,328.00 ",-1%, $657.30 ,-49%," $23,350.00 "," $19,581.00 ",1700,Sandeep Mathrani,Chairman &  Chief Executive Officer,Financials,Real estate,,Chicago,IL, 41.87811 , (87.62980)
869,Cypress Semiconductor,959," $2,328.00 ",21%, $(80.90),," $3,537.00 "," $6,021.00 ",6099,Hassane El-Khoury,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,,San Jose,CA, 37.33821 , (121.88633)
870,Arch Coal,946," $2,325.00 ",18%, $238.50 ,," $1,980.00 "," $1,913.00 ",3790,John W. Eaves,Chairman &  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",,St. Louis,MO, 38.62700 , (90.19940)
871,GMS,976," $2,319.00 ",25%, $48.90 ,289%," $1,393.00 "," $1,254.00 ",4464,G. Michael Callahan Jr.,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,,Tucker,GA, 33.85455 , (84.21714)
872,Waters,899," $2,309.00 ",7%, $20.30 ,-96%," $5,340.00 "," $15,553.00 ",7000,Christopher J. O'Connell,Chairman &  Chief Executive Officer,Technology,"Scientific,Photographic and  Control Equipment",,Milford,MA, 42.13986 , (71.51630)
873,H.B. Fuller,913," $2,306.00 ",10%, $58.20 ,-53%," $4,361.00 "," $2,513.00 ",5965,James J. Owens,"President, Chief Executive Officer &  Director",Chemicals,Chemicals,,St Paul,MN, 44.95370 , (93.08996)
874,Affiliated Managers Group,892," $2,305.00 ",5%, $689.50 ,46%," $8,702.00 "," $10,331.00 ",4400,Nathaniel Dalton,Chairman &  Chief Executive Officer,Financials,Securities,,West Palm Beach,FL, 26.71534 , (80.05337)
875,PerkinElmer,875," $2,301.00 ",2%, $292.60 ,25%," $6,092.00 "," $8,367.00 ",11000,Robert F. Friel,"Chairman, President &  Chief Executive Officer",Technology,"Scientific,Photographic and  Control Equipment",,Waltham,MA, 42.37649 , (71.23561)
876,Edgewell Personal Care,845," $2,298.00 ",-3%, $5.70 ,-97%," $4,189.00 "," $2,636.00 ",6000,David P. Hatfield,"Chairman, President &  Chief Executive Officer",Household Products,Household and Personal Products,,Chesterfield,MO, 38.66311 , (90.57707)
877,Maxim Integrated Products,891," $2,296.00 ",5%, $571.60 ,151%," $4,570.00 "," $16,935.00 ",7040,Tun� Doluca,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,,San Jose,CA, 37.33821 , (121.88633)
878,Knights of Columbus,880," $2,290.00 ",3%, $108.10 ,22%," $24,954.00 ",,926,Carl A. Anderson,Chairman &  Chief Executive Officer,Financials,"Insurance: Life, Health (Mutual)",,New Haven,CT, 41.30827 , (72.92788)
